turn,noodling_cumulative,baseline_cumulative,noodling_per_turn,baseline_per_turn
1,2850,300,2850,300
2,5700,625,2850,325
3,8550,975,2850,350
4,11400,1350,2850,375
5,14250,1750,2850,400
6,17100,2175,2850,425
7,19950,2625,2850,450
8,22800,3100,2850,475
9,25650,3600,2850,500
10,28500,4125,2850,525
11,31350,4675,2850,550
12,34200,5250,2850,575
13,37050,5850,2850,600
14,39900,6475,2850,625
15,42750,7125,2850,650
16,45600,7800,2850,675
17,48450,8500,2850,700
18,51300,9225,2850,725
19,54150,9975,2850,750
20,57000,10750,2850,775
21,59850,11550,2850,800
22,62700,12375,2850,825
23,65550,13225,2850,850
24,68400,14100,2850,875
25,71250,15000,2850,900
26,74100,15925,2850,925
27,76950,16875,2850,950
28,79800,17850,2850,975
29,82650,18850,2850,1000
30,85500,19875,2850,1025
31,88350,20925,2850,1050
32,91200,22000,2850,1075
33,94050,23100,2850,1100
34,96900,24225,2850,1125
35,99750,25375,2850,1150
36,102600,26550,2850,1175
37,105450,27750,2850,1200
38,108300,28975,2850,1225
39,111150,30225,2850,1250
40,114000,31500,2850,1275
41,116850,32800,2850,1300
42,119700,34125,2850,1325
43,122550,35475,2850,1350
44,125400,36850,2850,1375
45,128250,38250,2850,1400
46,131100,39675,2850,1425
47,133950,41125,2850,1450
48,136800,42600,2850,1475
49,139650,44100,2850,1500
50,142500,45625,2850,1525
51,145350,47175,2850,1550
52,148200,48750,2850,1575
53,151050,50350,2850,1600
54,153900,51975,2850,1625
55,156750,53625,2850,1650
56,159600,55300,2850,1675
57,162450,57000,2850,1700
58,165300,58725,2850,1725
59,168150,60475,2850,1750
60,171000,62250,2850,1775
61,173850,64050,2850,1800
62,176700,65875,2850,1825
63,179550,67725,2850,1850
64,182400,69600,2850,1875
65,185250,71500,2850,1900
66,188100,73425,2850,1925
67,190950,75375,2850,1950
68,193800,77350,2850,1975
69,196650,79350,2850,2000
70,199500,81375,2850,2025
71,202350,83425,2850,2050
72,205200,85500,2850,2075
73,208050,87600,2850,2100
74,210900,89725,2850,2125
75,213750,91875,2850,2150
76,216600,94050,2850,2175
77,219450,96250,2850,2200
78,222300,98475,2850,2225
79,225150,100725,2850,2250
80,228000,103000,2850,2275
81,230850,105300,2850,2300
82,233700,107625,2850,2325
83,236550,109975,2850,2350
84,239400,112350,2850,2375
85,242250,114750,2850,2400
86,245100,117175,2850,2425
87,247950,119625,2850,2450
88,250800,122100,2850,2475
89,253650,124600,2850,2500
90,256500,127125,2850,2525
91,259350,129675,2850,2550
92,262200,132250,2850,2575
93,265050,134850,2850,2600
94,267900,137475,2850,2625
95,270750,140125,2850,2650
96,273600,142800,2850,2675
97,276450,145500,2850,2700
98,279300,148225,2850,2725
99,282150,150975,2850,2750
100,285000,153750,2850,2775
